-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2025 through 12/31/2025 in UTC
Location: Latitude  11.0   Longitude 123.0 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 104.72 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (W m-2) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,T2M
2025,1,1,0,336.4,26.58
2025,1,1,1,505.0,27.21
2025,1,1,2,520.85,27.67
2025,1,1,3,519.55,27.85
2025,1,1,4,422.5,27.93
2025,1,1,5,412.58,27.79
2025,1,1,6,261.45,27.47
2025,1,1,7,179.02,26.93
2025,1,1,8,68.8,26.39
2025,1,1,9,7.38,25.83
2025,1,1,10,0.0,25.59
2025,1,1,11,0.0,25.47
2025,1,1,12,0.0,25.39
2025,1,1,13,0.0,25.33
2025,1,1,14,0.0,25.28
2025,1,1,15,0.0,25.2
2025,1,1,16,0.0,25.15
2025,1,1,17,0.0,25.17
2025,1,1,18,0.0,25.2
2025,1,1,19,0.0,25.28
2025,1,1,20,0.0,25.33
2025,1,1,21,0.0,25.34
2025,1,1,22,27.6,25.64
2025,1,1,23,156.73,26.55
2025,1,2,0,326.17,27.0
2025,1,2,1,516.5,27.75
2025,1,2,2,615.05,28.36
2025,1,2,3,700.42,28.74
2025,1,2,4,703.45,28.94
2025,1,2,5,630.2,28.88
2025,1,2,6,476.98,28.69
2025,1,2,7,303.62,28.34
2025,1,2,8,134.5,27.76
2025,1,2,9,10.5,26.88
2025,1,2,10,0.0,26.46
2025,1,2,11,0.0,26.28
2025,1,2,12,0.0,26.26
2025,1,2,13,0.0,26.26
2025,1,2,14,0.0,26.17
2025,1,2,15,0.0,26.01
2025,1,2,16,0.0,25.89
2025,1,2,17,0.0,25.77
2025,1,2,18,0.0,25.72
2025,1,2,19,0.0,25.62
2025,1,2,20,0.0,25.52
2025,1,2,21,0.0,25.49
2025,1,2,22,37.28,25.73
2025,1,2,23,204.18,26.22
2025,1,3,0,396.77,26.51
2025,1,3,1,576.53,26.64
2025,1,3,2,714.3,26.8
2025,1,3,3,772.72,26.9
2025,1,3,4,772.08,27.09
2025,1,3,5,681.85,27.24
2025,1,3,6,548.8,27.22
2025,1,3,7,360.4,27.08
2025,1,3,8,153.8,26.83
2025,1,3,9,12.25,26.32
2025,1,3,10,0.0,26.13
2025,1,3,11,0.0,26.12
2025,1,3,12,0.0,26.13
2025,1,3,13,0.0,26.12
2025,1,3,14,0.0,26.07
2025,1,3,15,0.0,26.01
2025,1,3,16,0.0,25.99
2025,1,3,17,0.0,25.88
2025,1,3,18,0.0,25.73
2025,1,3,19,0.0,25.66
2025,1,3,20,0.0,25.63
2025,1,3,21,0.0,25.57
2025,1,3,22,35.58,25.7
2025,1,3,23,172.52,26.19
2025,1,4,0,320.9,26.46
2025,1,4,1,486.25,26.72
2025,1,4,2,657.72,26.98
2025,1,4,3,722.85,27.15
2025,1,4,4,720.3,27.17
2025,1,4,5,685.1,27.04
2025,1,4,6,547.75,26.85
2025,1,4,7,356.9,26.66
2025,1,4,8,155.07,26.46
2025,1,4,9,9.8,26.01
2025,1,4,10,0.0,25.85
2025,1,4,11,0.0,25.86
2025,1,4,12,0.0,25.84
2025,1,4,13,0.0,25.84
2025,1,4,14,0.0,25.82
2025,1,4,15,0.0,25.76
2025,1,4,16,0.0,25.63
2025,1,4,17,0.0,25.47
2025,1,4,18,0.0,25.33
2025,1,4,19,0.0,25.24
2025,1,4,20,0.0,25.18
2025,1,4,21,0.0,25.14
2025,1,4,22,13.93,25.29
2025,1,4,23,108.03,25.84
2025,1,5,0,233.12,26.07
2025,1,5,1,400.8,26.37
2025,1,5,2,553.83,26.72
2025,1,5,3,646.45,27.05
2025,1,5,4,639.28,27.2
2025,1,5,5,583.03,27.24
2025,1,5,6,388.27,27.15
2025,1,5,7,238.98,26.95
2025,1,5,8,96.53,26.51
2025,1,5,9,10.27,25.75
2025,1,5,10,0.0,25.4
2025,1,5,11,0.0,25.29
2025,1,5,12,0.0,25.25
2025,1,5,13,0.0,25.25
2025,1,5,14,0.0,25.27
2025,1,5,15,0.0,25.25
2025,1,5,16,0.0,25.22
2025,1,5,17,0.0,25.17
2025,1,5,18,0.0,25.11
2025,1,5,19,0.0,25.05
2025,1,5,20,0.0,24.98
2025,1,5,21,0.0,24.95
2025,1,5,22,34.33,25.37
2025,1,5,23,202.4,26.11
2025,1,6,0,400.33,26.56
2025,1,6,1,554.92,27.21
2025,1,6,2,663.17,27.77
2025,1,6,3,706.6,28.05
2025,1,6,4,747.15,28.14
2025,1,6,5,651.17,28.07
2025,1,6,6,501.75,27.83
2025,1,6,7,325.55,27.39
2025,1,6,8,137.45,26.79
2025,1,6,9,12.38,26.03
2025,1,6,10,0.0,25.79
2025,1,6,11,0.0,25.77
2025,1,6,12,0.0,25.81
2025,1,6,13,0.0,25.85
2025,1,6,14,0.0,25.87
2025,1,6,15,0.0,25.76
2025,1,6,16,0.0,25.6
2025,1,6,17,0.0,25.52
2025,1,6,18,0.0,25.44
2025,1,6,19,0.0,25.35
2025,1,6,20,0.0,25.26
2025,1,6,21,0.0,25.15
2025,1,6,22,26.83,25.43
2025,1,6,23,158.62,26.1
2025,1,7,0,309.1,26.68
2025,1,7,1,510.88,27.24
2025,1,7,2,538.65,27.75
2025,1,7,3,587.97,28.05
2025,1,7,4,674.12,28.21
