timestamp,load_mw,pv_capacity_factor,ghi_w_per_m2,temperature_c,pv_source,case_id,country,region,load_source
2025-01-01 00:00:00,0.9758,0.2646,336.4,26.58,nasa-power,philippines_offgrid_reference,Philippines,ASEAN,calibrated_synthetic_archetype
2025-01-01 01:00:00,0.9399,0.38903,505.0,27.21,nasa-power,philippines_offgrid_reference,Philippines,ASEAN,calibrated_synthetic_archetype
2025-01-01 02:00:00,1.007,0.39976,520.8,27.67,nasa-power,philippines_offgrid_reference,Philippines,ASEAN,calibrated_synthetic_archetype
2025-01-01 03:00:00,1.0344,0.39851,519.6,27.85,nasa-power,philippines_offgrid_reference,Philippines,ASEAN,calibrated_synthetic_archetype
2025-01-01 04:00:00,0.9767,0.3274,422.5,27.93,nasa-power,philippines_offgrid_reference,Philippines,ASEAN,calibrated_synthetic_archetype
2025-01-01 05:00:00,1.0363,0.32025,412.6,27.79,nasa-power,philippines_offgrid_reference,Philippines,ASEAN,calibrated_synthetic_archetype
2025-01-01 06:00:00,1.1207,0.20653,261.4,27.47,nasa-power,philippines_offgrid_reference,Philippines,ASEAN,calibrated_synthetic_archetype
2025-01-01 07:00:00,1.1357,0.14297,179.0,26.93,nasa-power,philippines_offgrid_reference,Philippines,ASEAN,calibrated_synthetic_archetype
2025-01-01 08:00:00,1.1594,0.0557,68.8,26.39,nasa-power,philippines_offgrid_reference,Philippines,ASEAN,calibrated_synthetic_archetype
2025-01-01 09:00:00,1.1344,0.00603,7.4,25.83,nasa-power,philippines_offgrid_reference,Philippines,ASEAN,calibrated_synthetic_archetype
2025-01-01 10:00:00,1.187,0.0,0.0,25.59,nasa-power,philippines_offgrid_reference,Philippines,ASEAN,calibrated_synthetic_archetype
2025-01-01 11:00:00,1.1826,0.0,0.0,25.47,nasa-power,philippines_offgrid_reference,Philippines,ASEAN,calibrated_synthetic_archetype
2025-01-01 12:00:00,1.1637,0.0,0.0,25.39,nasa-power,philippines_offgrid_reference,Philippines,ASEAN,calibrated_synthetic_archetype
2025-01-01 13:00:00,1.2077,0.0,0.0,25.33,nasa-power,philippines_offgrid_reference,Philippines,ASEAN,calibrated_synthetic_archetype
2025-01-01 14:00:00,1.2031,0.0,0.0,25.28,nasa-power,philippines_offgrid_reference,Philippines,ASEAN,calibrated_synthetic_archetype
2025-01-01 15:00:00,1.1869,0.0,0.0,25.2,nasa-power,philippines_offgrid_reference,Philippines,ASEAN,calibrated_synthetic_archetype
2025-01-01 16:00:00,1.2661,0.0,0.0,25.15,nasa-power,philippines_offgrid_reference,Philippines,ASEAN,calibrated_synthetic_archetype
2025-01-01 17:00:00,1.2721,0.0,0.0,25.17,nasa-power,philippines_offgrid_reference,Philippines,ASEAN,calibrated_synthetic_archetype
2025-01-01 18:00:00,1.3824,0.0,0.0,25.2,nasa-power,philippines_offgrid_reference,Philippines,ASEAN,calibrated_synthetic_archetype
2025-01-01 19:00:00,1.3847,0.0,0.0,25.28,nasa-power,philippines_offgrid_reference,Philippines,ASEAN,calibrated_synthetic_archetype
2025-01-01 20:00:00,1.3816,0.0,0.0,25.33,nasa-power,philippines_offgrid_reference,Philippines,ASEAN,calibrated_synthetic_archetype
2025-01-01 21:00:00,1.3285,0.0,0.0,25.34,nasa-power,philippines_offgrid_reference,Philippines,ASEAN,calibrated_synthetic_archetype
2025-01-01 22:00:00,1.3235,0.02251,27.6,25.64,nasa-power,philippines_offgrid_reference,Philippines,ASEAN,calibrated_synthetic_archetype
2025-01-01 23:00:00,1.1957,0.12566,156.7,26.55,nasa-power,philippines_offgrid_reference,Philippines,ASEAN,calibrated_synthetic_archetype
2025-01-02 00:00:00,0.9536,0.25639,326.2,27.0,nasa-power,philippines_offgrid_reference,Philippines,ASEAN,calibrated_synthetic_archetype
2025-01-02 01:00:00,0.9614,0.39647,516.5,27.75,nasa-power,philippines_offgrid_reference,Philippines,ASEAN,calibrated_synthetic_archetype
