backbone_id,backbone_pv_mw,backbone_battery_mwh,backbone_battery_power_mw,crossover_diesel_cost_usd_per_mwh,delta_cost_at_baseline_usd,battery_hydrogen_preferred,scenario,total_annual_cost_usd,lcoe_usd_per_mwh_served,annual_unmet_mwh,clsr_min,clsr_mean,eens_max,survivable_outage_h_min
B1,7.0,8.0,1.3333,,25929859.53055899,False,diesel_battery,2552298.4773653043,245.25095192655718,0.0,0.8763339814477902,0.9250446236363817,16.216849975000006,0.0
B1,7.0,8.0,1.3333,,25929859.53055899,False,battery_hydrogen,28482158.007924292,3633.2703160452743,2567.6230769842105,0.9799518695998994,0.9979951869599899,2.5372826625000044,9.0
B2,7.0,12.0,2.0,,19313703.11243891,False,diesel_battery,2337538.8152571684,224.61464624579824,0.0,0.9173581009068734,0.9796975495616641,10.459122800000001,0.0
B2,7.0,12.0,2.0,,19313703.11243891,False,battery_hydrogen,21651241.92769608,2536.312429425076,1870.3808127092102,0.9948705575908071,0.9994870557590808,0.6491800000000005,10.0
B3,10.0,8.0,1.3333,,9781552.16312319,False,diesel_battery,2881686.181605761,276.9018927292434,0.0,0.9077687191854422,0.9392706187956671,12.094679375000005,0.0
B3,10.0,8.0,1.3333,,9781552.16312319,False,battery_hydrogen,12663238.34472895,1337.8353965084066,941.4169431710525,0.998515342006106,0.9998515342006107,0.1901050000000002,6.0
B4,10.0,12.0,2.0,,2654300.336229088,False,diesel_battery,2601397.5526428204,249.96889344370877,0.0,0.9572544593095585,0.9915769029181212,5.153085000000002,0.0
B4,10.0,12.0,2.0,,2654300.336229088,False,battery_hydrogen,5255697.888871908,514.2425331153448,186.6144097631574,1.0,1.0,0.0,48.0
B5,14.0,8.0,1.3333,367.7994703738218,438458.4542052797,False,diesel_battery,3391198.511379672,325.8610505250675,0.0,0.9199970596925311,0.9461543301461948,10.491125175000006,0.0
B5,14.0,8.0,1.3333,367.7994703738218,438458.4542052797,False,battery_hydrogen,3829656.965584952,367.9926249579667,0.0,1.0,1.0,0.0,48.0
B6,14.0,12.0,2.0,754.4663583191566,863844.0852662562,False,diesel_battery,3098469.349333542,297.7326375337364,0.0,0.9777399745962619,0.9953761031048021,2.919051625000003,0.0
B6,14.0,12.0,2.0,754.4663583191566,863844.0852662562,False,battery_hydrogen,3962313.434599798,380.73961579529674,0.0,1.0,1.0,0.0,48.0
