case_type,case_label,scenario,diesel_available_during_outage,diesel_derate_fraction,diesel_fuel_budget_h,diesel_delay_h,delivered_diesel_cost_usd_per_mwh,carbon_price_usd_per_t,total_annual_cost_usd,delta_cost_usd,clsr_min,clsr_mean,eens_max,survivable_outage_h_min
D0,unavailable,diesel_battery,False,1.0,inf,0,220.0,0.0,2252544.952144012,1709768.4824557863,0.5806942066505968,0.6312053302302172,54.985348635000015,0.0
D0,unavailable,battery_hydrogen,False,1.0,inf,0,220.0,0.0,3962313.434599798,1709768.4824557863,1.0,1.0,0.0,48.0
D1,derate_25pct,diesel_battery,True,0.25,inf,0,220.0,0.0,2252544.952144012,1709768.4824557863,0.9676357089099723,0.9771125475009518,4.149797950000005,0.0
D1,derate_25pct,battery_hydrogen,True,0.25,inf,0,220.0,0.0,3962313.434599798,1709768.4824557863,1.0,1.0,0.0,48.0
D1,derate_50pct,diesel_battery,True,0.5,inf,0,220.0,0.0,2252544.952144012,1709768.4824557863,1.0,1.0,0.0,48.0
D1,derate_50pct,battery_hydrogen,True,0.5,inf,0,220.0,0.0,3962313.434599798,1709768.4824557863,1.0,1.0,0.0,48.0
D1,derate_75pct,diesel_battery,True,0.75,inf,0,220.0,0.0,2252544.952144012,1709768.4824557863,1.0,1.0,0.0,48.0
D1,derate_75pct,battery_hydrogen,True,0.75,inf,0,220.0,0.0,3962313.434599798,1709768.4824557863,1.0,1.0,0.0,48.0
D2,fuel_3h,diesel_battery,True,1.0,3.0,0,220.0,0.0,2252544.952144012,1709768.4824557863,0.8003164723676868,0.852129188501278,26.18534863500002,10.0
D2,fuel_3h,battery_hydrogen,True,1.0,3.0,0,220.0,0.0,3962313.434599798,1709768.4824557863,1.0,1.0,0.0,48.0
D2,fuel_6h,diesel_battery,True,1.0,6.0,0,220.0,0.0,2252544.952144012,1709768.4824557863,0.9358054575866128,0.9803113656980909,8.418102852500006,29.0
D2,fuel_6h,battery_hydrogen,True,1.0,6.0,0,220.0,0.0,3962313.434599798,1709768.4824557863,1.0,1.0,0.0,48.0
D2,fuel_12h,diesel_battery,True,1.0,12.0,0,220.0,0.0,2252544.952144012,1709768.4824557863,1.0,1.0,0.0,48.0
D2,fuel_12h,battery_hydrogen,True,1.0,12.0,0,220.0,0.0,3962313.434599798,1709768.4824557863,1.0,1.0,0.0,48.0
D2,fuel_24h,diesel_battery,True,1.0,24.0,0,220.0,0.0,2252544.952144012,1709768.4824557863,1.0,1.0,0.0,48.0
D2,fuel_24h,battery_hydrogen,True,1.0,24.0,0,220.0,0.0,3962313.434599798,1709768.4824557863,1.0,1.0,0.0,48.0
D3,delay_6h,diesel_battery,True,1.0,inf,6,220.0,0.0,2252544.952144012,1709768.4824557863,0.9034636483741025,0.9342631903555055,12.378035810000004,0.0
D3,delay_6h,battery_hydrogen,True,1.0,inf,6,220.0,0.0,3962313.434599798,1709768.4824557863,1.0,1.0,0.0,48.0
D3,delay_12h,diesel_battery,True,1.0,inf,12,220.0,0.0,2252544.952144012,1709768.4824557863,0.8212356408423179,0.8833902619295035,22.665751810000007,0.0
D3,delay_12h,battery_hydrogen,True,1.0,inf,12,220.0,0.0,3962313.434599798,1709768.4824557863,1.0,1.0,0.0,48.0
D3,delay_24h,diesel_battery,True,1.0,inf,24,220.0,0.0,2252544.952144012,1709768.4824557863,0.7510944025842693,0.7982852903006712,31.501384135000006,0.0
D3,delay_24h,battery_hydrogen,True,1.0,inf,24,220.0,0.0,3962313.434599798,1709768.4824557863,1.0,1.0,0.0,48.0
D4,shock_380,diesel_battery,True,1.0,inf,0,380.0,150.0,3973674.2511503114,-11360.816550513264,1.0,1.0,0.0,48.0
D4,shock_380,battery_hydrogen,True,1.0,inf,0,380.0,150.0,3962313.434599798,-11360.816550513264,1.0,1.0,0.0,48.0
D4,shock_500,diesel_battery,True,1.0,inf,0,500.0,150.0,4753053.556360711,-790740.1217609132,1.0,1.0,0.0,48.0
D4,shock_500,battery_hydrogen,True,1.0,inf,0,500.0,150.0,3962313.434599798,-790740.1217609132,1.0,1.0,0.0,48.0
D4,shock_700,diesel_battery,True,1.0,inf,0,700.0,150.0,6052019.065044711,-2089705.6304449132,1.0,1.0,0.0,48.0
D4,shock_700,battery_hydrogen,True,1.0,inf,0,700.0,150.0,3962313.434599798,-2089705.6304449132,1.0,1.0,0.0,48.0
D4,shock_1000,diesel_battery,True,1.0,inf,0,1000.0,150.0,8000467.328070711,-4038153.893470913,1.0,1.0,0.0,48.0
D4,shock_1000,battery_hydrogen,True,1.0,inf,0,1000.0,150.0,3962313.434599798,-4038153.893470913,1.0,1.0,0.0,48.0
