sensitivity_case,scenario,label,delivered_diesel_cost_usd_per_mwh,hydrogen_capex_multiplier,outage_duration_hours,carbon_price_usd_per_t,total_annual_cost_usd,lcoe_usd_per_mwh_served,diesel_mwh,diesel_co2_t,carbon_cost_usd,eens_mwh,lpsp,critical_load_served_ratio,survivable_outage_duration_h,resilience_penalty_usd,resilience_adjusted_cost_usd,delta_cost_usd,battery_hydrogen_preferred_pure,delta_cost_resilience_adjusted_usd,battery_hydrogen_preferred_resilience
1,diesel_battery,PV + diesel + battery,100.0,0.3,48.0,150.0,2155122.5389927113,207.08622400306038,6494.82754342,4546.379280394,681956.8920591,44.25673321250001,0.3459487838603996,0.6540512161396004,1.0,221283.66606250004,2376406.205055211,755816.7915119771,False,534533.1254494772,False
1,battery_hydrogen,PV + battery + hydrogen,100.0,0.3,48.0,150.0,2910939.3305046884,279.71283458339406,0.0,0.0,0.0,0.0,0.0,1.0,48.0,0.0,2910939.3305046884,755816.7915119771,False,534533.1254494772,False
2,diesel_battery,PV + diesel + battery,100.0,0.35,48.0,150.0,2155122.5389927113,207.08622400306038,6494.82754342,4546.379280394,681956.8920591,44.25673321250001,0.3459487838603996,0.6540512161396004,1.0,221283.66606250004,2376406.205055211,830914.9418044849,False,609631.2757419851,False
2,battery_hydrogen,PV + battery + hydrogen,100.0,0.35,48.0,150.0,2986037.4807971963,286.9290332413871,0.0,0.0,0.0,0.0,0.0,1.0,48.0,0.0,2986037.4807971963,830914.9418044849,False,609631.2757419851,False
3,diesel_battery,PV + diesel + battery,100.0,0.4,48.0,150.0,2155122.5389927113,207.08622400306038,6494.82754342,4546.379280394,681956.8920591,44.25673321250001,0.3459487838603996,0.6540512161396004,1.0,221283.66606250004,2376406.205055211,906013.0920969928,False,684729.4260344929,False
3,battery_hydrogen,PV + battery + hydrogen,100.0,0.4,48.0,150.0,3061135.631089704,294.1452318993802,0.0,0.0,0.0,0.0,0.0,1.0,48.0,0.0,3061135.631089704,906013.0920969928,False,684729.4260344929,False
4,diesel_battery,PV + diesel + battery,100.0,0.45,48.0,150.0,2155122.5389927113,207.08622400306038,6494.82754342,4546.379280394,681956.8920591,44.25673321250001,0.3459487838603996,0.6540512161396004,1.0,221283.66606250004,2376406.205055211,981111.2423895006,False,759827.5763270007,False
4,battery_hydrogen,PV + battery + hydrogen,100.0,0.45,48.0,150.0,3136233.781382212,301.36143055737324,0.0,0.0,0.0,0.0,0.0,1.0,48.0,0.0,3136233.781382212,981111.2423895006,False,759827.5763270007,False
5,diesel_battery,PV + diesel + battery,100.0,0.5,48.0,150.0,2155122.5389927113,207.08622400306038,6494.82754342,4546.379280394,681956.8920591,44.25673321250001,0.3459487838603996,0.6540512161396004,1.0,221283.66606250004,2376406.205055211,1056209.3926820084,False,834925.7266195086,False
5,battery_hydrogen,PV + battery + hydrogen,100.0,0.5,48.0,150.0,3211331.93167472,308.57762921536624,0.0,0.0,0.0,0.0,0.0,1.0,48.0,0.0,3211331.93167472,1056209.3926820084,False,834925.7266195086,False
6,diesel_battery,PV + diesel + battery,100.0,0.55,48.0,150.0,2155122.5389927113,207.08622400306038,6494.82754342,4546.379280394,681956.8920591,44.25673321250001,0.3459487838603996,0.6540512161396004,1.0,221283.66606250004,2376406.205055211,1131307.5429745163,False,910023.8769120164,False
6,battery_hydrogen,PV + battery + hydrogen,100.0,0.55,48.0,150.0,3286430.0819672276,315.7938278733593,0.0,0.0,0.0,0.0,0.0,1.0,48.0,0.0,3286430.0819672276,1131307.5429745163,False,910023.8769120164,False
7,diesel_battery,PV + diesel + battery,100.0,0.6,48.0,150.0,2155122.5389927113,207.08622400306038,6494.82754342,4546.379280394,681956.8920591,44.25673321250001,0.3459487838603996,0.6540512161396004,1.0,221283.66606250004,2376406.205055211,1206405.6932670241,False,985122.0272045243,False
7,battery_hydrogen,PV + battery + hydrogen,100.0,0.6,48.0,150.0,3361528.2322597355,323.01002653135237,0.0,0.0,0.0,0.0,0.0,1.0,48.0,0.0,3361528.2322597355,1206405.6932670241,False,985122.0272045243,False
8,diesel_battery,PV + diesel + battery,100.0,0.65,48.0,150.0,2155122.5389927113,207.08622400306038,6494.82754342,4546.379280394,681956.8920591,44.25673321250001,0.3459487838603996,0.6540512161396004,1.0,221283.66606250004,2376406.205055211,1281503.843559532,False,1060220.177497032,False
8,battery_hydrogen,PV + battery + hydrogen,100.0,0.65,48.0,150.0,3436626.3825522433,330.2262251893454,0.0,0.0,0.0,0.0,0.0,1.0,48.0,0.0,3436626.3825522433,1281503.843559532,False,1060220.177497032,False
9,diesel_battery,PV + diesel + battery,100.0,0.7,48.0,150.0,2155122.5389927113,207.08622400306038,6494.82754342,4546.379280394,681956.8920591,44.25673321250001,0.3459487838603996,0.6540512161396004,1.0,221283.66606250004,2376406.205055211,1356601.9938520398,False,1135318.32778954,False
9,battery_hydrogen,PV + battery + hydrogen,100.0,0.7,48.0,150.0,3511724.532844751,337.4424238473385,0.0,0.0,0.0,0.0,0.0,1.0,48.0,0.0,3511724.532844751,1356601.9938520398,False,1135318.32778954,False
10,diesel_battery,PV + diesel + battery,100.0,0.75,48.0,150.0,2155122.5389927113,207.08622400306038,6494.82754342,4546.379280394,681956.8920591,44.25673321250001,0.3459487838603996,0.6540512161396004,1.0,221283.66606250004,2376406.205055211,1431700.1441445476,False,1210416.4780820478,False
10,battery_hydrogen,PV + battery + hydrogen,100.0,0.75,48.0,150.0,3586822.683137259,344.6586225053315,0.0,0.0,0.0,0.0,0.0,1.0,48.0,0.0,3586822.683137259,1431700.1441445476,False,1210416.4780820478,False
11,diesel_battery,PV + diesel + battery,100.0,0.8,48.0,150.0,2155122.5389927113,207.08622400306038,6494.82754342,4546.379280394,681956.8920591,44.25673321250001,0.3459487838603996,0.6540512161396004,1.0,221283.66606250004,2376406.205055211,1506798.2944370555,False,1285514.6283745556,False
11,battery_hydrogen,PV + battery + hydrogen,100.0,0.8,48.0,150.0,3661920.833429767,351.87482116332455,0.0,0.0,0.0,0.0,0.0,1.0,48.0,0.0,3661920.833429767,1506798.2944370555,False,1285514.6283745556,False
12,diesel_battery,PV + diesel + battery,100.0,0.85,48.0,150.0,2155122.5389927113,207.08622400306038,6494.82754342,4546.379280394,681956.8920591,44.25673321250001,0.3459487838603996,0.6540512161396004,1.0,221283.66606250004,2376406.205055211,1581896.4447295633,False,1360612.7786670635,False
12,battery_hydrogen,PV + battery + hydrogen,100.0,0.85,48.0,150.0,3737018.9837222747,359.0910198213176,0.0,0.0,0.0,0.0,0.0,1.0,48.0,0.0,3737018.9837222747,1581896.4447295633,False,1360612.7786670635,False
13,diesel_battery,PV + diesel + battery,100.0,0.9,48.0,150.0,2155122.5389927113,207.08622400306038,6494.82754342,4546.379280394,681956.8920591,44.25673321250001,0.3459487838603996,0.6540512161396004,1.0,221283.66606250004,2376406.205055211,1656994.5950220712,False,1435710.9289595713,False
13,battery_hydrogen,PV + battery + hydrogen,100.0,0.9,48.0,150.0,3812117.1340147825,366.3072184793107,0.0,0.0,0.0,0.0,0.0,1.0,48.0,0.0,3812117.1340147825,1656994.5950220712,False,1435710.9289595713,False
14,diesel_battery,PV + diesel + battery,100.0,0.95,48.0,150.0,2155122.5389927113,207.08622400306038,6494.82754342,4546.379280394,681956.8920591,44.25673321250001,0.3459487838603996,0.6540512161396004,1.0,221283.66606250004,2376406.205055211,1732092.745314579,False,1510809.0792520791,False
14,battery_hydrogen,PV + battery + hydrogen,100.0,0.95,48.0,150.0,3887215.2843072903,373.5234171373037,0.0,0.0,0.0,0.0,0.0,1.0,48.0,0.0,3887215.2843072903,1732092.745314579,False,1510809.0792520791,False
15,diesel_battery,PV + diesel + battery,100.0,1.0,48.0,150.0,2155122.5389927113,207.08622400306038,6494.82754342,4546.379280394,681956.8920591,44.25673321250001,0.3459487838603996,0.6540512161396004,1.0,221283.66606250004,2376406.205055211,1807190.8956070868,False,1585907.229544587,False
15,battery_hydrogen,PV + battery + hydrogen,100.0,1.0,48.0,150.0,3962313.434599798,380.73961579529674,0.0,0.0,0.0,0.0,0.0,1.0,48.0,0.0,3962313.434599798,1807190.8956070868,False,1585907.229544587,False
16,diesel_battery,PV + diesel + battery,100.0,1.05,48.0,150.0,2155122.5389927113,207.08622400306038,6494.82754342,4546.379280394,681956.8920591,44.25673321250001,0.3459487838603996,0.6540512161396004,1.0,221283.66606250004,2376406.205055211,1882289.0458995947,False,1661005.3798370948,False
16,battery_hydrogen,PV + battery + hydrogen,100.0,1.05,48.0,150.0,4037411.584892306,387.9558144532898,0.0,0.0,0.0,0.0,0.0,1.0,48.0,0.0,4037411.584892306,1882289.0458995947,False,1661005.3798370948,False
17,diesel_battery,PV + diesel + battery,100.0,1.1,48.0,150.0,2155122.5389927113,207.08622400306038,6494.82754342,4546.379280394,681956.8920591,44.25673321250001,0.3459487838603996,0.6540512161396004,1.0,221283.66606250004,2376406.205055211,1957387.1961921025,False,1736103.5301296026,False
17,battery_hydrogen,PV + battery + hydrogen,100.0,1.1,48.0,150.0,4112509.735184814,395.17201311128287,0.0,0.0,0.0,0.0,0.0,1.0,48.0,0.0,4112509.735184814,1957387.1961921025,False,1736103.5301296026,False
18,diesel_battery,PV + diesel + battery,100.0,1.15,48.0,150.0,2155122.5389927113,207.08622400306038,6494.82754342,4546.379280394,681956.8920591,44.25673321250001,0.3459487838603996,0.6540512161396004,1.0,221283.66606250004,2376406.205055211,2032485.3464846103,False,1811201.6804221105,False
18,battery_hydrogen,PV + battery + hydrogen,100.0,1.15,48.0,150.0,4187607.8854773217,402.38821176927587,0.0,0.0,0.0,0.0,0.0,1.0,48.0,0.0,4187607.8854773217,2032485.3464846103,False,1811201.6804221105,False
19,diesel_battery,PV + diesel + battery,100.0,1.2,48.0,150.0,2155122.5389927113,207.08622400306038,6494.82754342,4546.379280394,681956.8920591,44.25673321250001,0.3459487838603996,0.6540512161396004,1.0,221283.66606250004,2376406.205055211,2107583.496777119,False,1886299.8307146193,False
19,battery_hydrogen,PV + battery + hydrogen,100.0,1.2,48.0,150.0,4262706.03576983,409.60441042726904,0.0,0.0,0.0,0.0,0.0,1.0,48.0,0.0,4262706.03576983,2107583.496777119,False,1886299.8307146193,False
20,diesel_battery,PV + diesel + battery,150.0,0.3,48.0,150.0,2479863.916163712,238.29069816132704,6494.82754342,4546.379280394,681956.8920591,44.25673321250001,0.3459487838603996,0.6540512161396004,1.0,221283.66606250004,2701147.5822262117,431075.4143409766,False,209791.74827847676,False
20,battery_hydrogen,PV + battery + hydrogen,150.0,0.3,48.0,150.0,2910939.3305046884,279.71283458339406,0.0,0.0,0.0,0.0,0.0,1.0,48.0,0.0,2910939.3305046884,431075.4143409766,False,209791.74827847676,False
21,diesel_battery,PV + diesel + battery,150.0,0.35,48.0,150.0,2479863.916163712,238.29069816132704,6494.82754342,4546.379280394,681956.8920591,44.25673321250001,0.3459487838603996,0.6540512161396004,1.0,221283.66606250004,2701147.5822262117,506173.56463348446,False,284889.8985709846,False
21,battery_hydrogen,PV + battery + hydrogen,150.0,0.35,48.0,150.0,2986037.4807971963,286.9290332413871,0.0,0.0,0.0,0.0,0.0,1.0,48.0,0.0,2986037.4807971963,506173.56463348446,False,284889.8985709846,False
22,diesel_battery,PV + diesel + battery,150.0,0.4,48.0,150.0,2479863.916163712,238.29069816132704,6494.82754342,4546.379280394,681956.8920591,44.25673321250001,0.3459487838603996,0.6540512161396004,1.0,221283.66606250004,2701147.5822262117,581271.7149259923,False,359988.04886349244,False
22,battery_hydrogen,PV + battery + hydrogen,150.0,0.4,48.0,150.0,3061135.631089704,294.1452318993802,0.0,0.0,0.0,0.0,0.0,1.0,48.0,0.0,3061135.631089704,581271.7149259923,False,359988.04886349244,False
23,diesel_battery,PV + diesel + battery,150.0,0.45,48.0,150.0,2479863.916163712,238.29069816132704,6494.82754342,4546.379280394,681956.8920591,44.25673321250001,0.3459487838603996,0.6540512161396004,1.0,221283.66606250004,2701147.5822262117,656369.8652185001,False,435086.1991560003,False
23,battery_hydrogen,PV + battery + hydrogen,150.0,0.45,48.0,150.0,3136233.781382212,301.36143055737324,0.0,0.0,0.0,0.0,0.0,1.0,48.0,0.0,3136233.781382212,656369.8652185001,False,435086.1991560003,False
24,diesel_battery,PV + diesel + battery,150.0,0.5,48.0,150.0,2479863.916163712,238.29069816132704,6494.82754342,4546.379280394,681956.8920591,44.25673321250001,0.3459487838603996,0.6540512161396004,1.0,221283.66606250004,2701147.5822262117,731468.015511008,False,510184.3494485081,False
24,battery_hydrogen,PV + battery + hydrogen,150.0,0.5,48.0,150.0,3211331.93167472,308.57762921536624,0.0,0.0,0.0,0.0,0.0,1.0,48.0,0.0,3211331.93167472,731468.015511008,False,510184.3494485081,False
25,diesel_battery,PV + diesel + battery,150.0,0.55,48.0,150.0,2479863.916163712,238.29069816132704,6494.82754342,4546.379280394,681956.8920591,44.25673321250001,0.3459487838603996,0.6540512161396004,1.0,221283.66606250004,2701147.5822262117,806566.1658035158,False,585282.499741016,False
25,battery_hydrogen,PV + battery + hydrogen,150.0,0.55,48.0,150.0,3286430.0819672276,315.7938278733593,0.0,0.0,0.0,0.0,0.0,1.0,48.0,0.0,3286430.0819672276,806566.1658035158,False,585282.499741016,False
26,diesel_battery,PV + diesel + battery,150.0,0.6,48.0,150.0,2479863.916163712,238.29069816132704,6494.82754342,4546.379280394,681956.8920591,44.25673321250001,0.3459487838603996,0.6540512161396004,1.0,221283.66606250004,2701147.5822262117,881664.3160960237,False,660380.6500335238,False
26,battery_hydrogen,PV + battery + hydrogen,150.0,0.6,48.0,150.0,3361528.2322597355,323.01002653135237,0.0,0.0,0.0,0.0,0.0,1.0,48.0,0.0,3361528.2322597355,881664.3160960237,False,660380.6500335238,False
27,diesel_battery,PV + diesel + battery,150.0,0.65,48.0,150.0,2479863.916163712,238.29069816132704,6494.82754342,4546.379280394,681956.8920591,44.25673321250001,0.3459487838603996,0.6540512161396004,1.0,221283.66606250004,2701147.5822262117,956762.4663885315,False,735478.8003260316,False
27,battery_hydrogen,PV + battery + hydrogen,150.0,0.65,48.0,150.0,3436626.3825522433,330.2262251893454,0.0,0.0,0.0,0.0,0.0,1.0,48.0,0.0,3436626.3825522433,956762.4663885315,False,735478.8003260316,False
28,diesel_battery,PV + diesel + battery,150.0,0.7,48.0,150.0,2479863.916163712,238.29069816132704,6494.82754342,4546.379280394,681956.8920591,44.25673321250001,0.3459487838603996,0.6540512161396004,1.0,221283.66606250004,2701147.5822262117,1031860.6166810393,False,810576.9506185395,False
28,battery_hydrogen,PV + battery + hydrogen,150.0,0.7,48.0,150.0,3511724.532844751,337.4424238473385,0.0,0.0,0.0,0.0,0.0,1.0,48.0,0.0,3511724.532844751,1031860.6166810393,False,810576.9506185395,False
29,diesel_battery,PV + diesel + battery,150.0,0.75,48.0,150.0,2479863.916163712,238.29069816132704,6494.82754342,4546.379280394,681956.8920591,44.25673321250001,0.3459487838603996,0.6540512161396004,1.0,221283.66606250004,2701147.5822262117,1106958.7669735472,False,885675.1009110473,False
29,battery_hydrogen,PV + battery + hydrogen,150.0,0.75,48.0,150.0,3586822.683137259,344.6586225053315,0.0,0.0,0.0,0.0,0.0,1.0,48.0,0.0,3586822.683137259,1106958.7669735472,False,885675.1009110473,False
30,diesel_battery,PV + diesel + battery,150.0,0.8,48.0,150.0,2479863.916163712,238.29069816132704,6494.82754342,4546.379280394,681956.8920591,44.25673321250001,0.3459487838603996,0.6540512161396004,1.0,221283.66606250004,2701147.5822262117,1182056.917266055,False,960773.2512035551,False
30,battery_hydrogen,PV + battery + hydrogen,150.0,0.8,48.0,150.0,3661920.833429767,351.87482116332455,0.0,0.0,0.0,0.0,0.0,1.0,48.0,0.0,3661920.833429767,1182056.917266055,False,960773.2512035551,False
31,diesel_battery,PV + diesel + battery,150.0,0.85,48.0,150.0,2479863.916163712,238.29069816132704,6494.82754342,4546.379280394,681956.8920591,44.25673321250001,0.3459487838603996,0.6540512161396004,1.0,221283.66606250004,2701147.5822262117,1257155.0675585628,False,1035871.401496063,False
31,battery_hydrogen,PV + battery + hydrogen,150.0,0.85,48.0,150.0,3737018.9837222747,359.0910198213176,0.0,0.0,0.0,0.0,0.0,1.0,48.0,0.0,3737018.9837222747,1257155.0675585628,False,1035871.401496063,False
32,diesel_battery,PV + diesel + battery,150.0,0.9,48.0,150.0,2479863.916163712,238.29069816132704,6494.82754342,4546.379280394,681956.8920591,44.25673321250001,0.3459487838603996,0.6540512161396004,1.0,221283.66606250004,2701147.5822262117,1332253.2178510707,False,1110969.5517885708,False
32,battery_hydrogen,PV + battery + hydrogen,150.0,0.9,48.0,150.0,3812117.1340147825,366.3072184793107,0.0,0.0,0.0,0.0,0.0,1.0,48.0,0.0,3812117.1340147825,1332253.2178510707,False,1110969.5517885708,False
33,diesel_battery,PV + diesel + battery,150.0,0.95,48.0,150.0,2479863.916163712,238.29069816132704,6494.82754342,4546.379280394,681956.8920591,44.25673321250001,0.3459487838603996,0.6540512161396004,1.0,221283.66606250004,2701147.5822262117,1407351.3681435785,False,1186067.7020810787,False
33,battery_hydrogen,PV + battery + hydrogen,150.0,0.95,48.0,150.0,3887215.2843072903,373.5234171373037,0.0,0.0,0.0,0.0,0.0,1.0,48.0,0.0,3887215.2843072903,1407351.3681435785,False,1186067.7020810787,False
34,diesel_battery,PV + diesel + battery,150.0,1.0,48.0,150.0,2479863.916163712,238.29069816132704,6494.82754342,4546.379280394,681956.8920591,44.25673321250001,0.3459487838603996,0.6540512161396004,1.0,221283.66606250004,2701147.5822262117,1482449.5184360864,False,1261165.8523735865,False
34,battery_hydrogen,PV + battery + hydrogen,150.0,1.0,48.0,150.0,3962313.434599798,380.73961579529674,0.0,0.0,0.0,0.0,0.0,1.0,48.0,0.0,3962313.434599798,1482449.5184360864,False,1261165.8523735865,False
35,diesel_battery,PV + diesel + battery,150.0,1.05,48.0,150.0,2479863.916163712,238.29069816132704,6494.82754342,4546.379280394,681956.8920591,44.25673321250001,0.3459487838603996,0.6540512161396004,1.0,221283.66606250004,2701147.5822262117,1557547.6687285942,False,1336264.0026660943,False
35,battery_hydrogen,PV + battery + hydrogen,150.0,1.05,48.0,150.0,4037411.584892306,387.9558144532898,0.0,0.0,0.0,0.0,0.0,1.0,48.0,0.0,4037411.584892306,1557547.6687285942,False,1336264.0026660943,False
36,diesel_battery,PV + diesel + battery,150.0,1.1,48.0,150.0,2479863.916163712,238.29069816132704,6494.82754342,4546.379280394,681956.8920591,44.25673321250001,0.3459487838603996,0.6540512161396004,1.0,221283.66606250004,2701147.5822262117,1632645.819021102,False,1411362.1529586022,False
36,battery_hydrogen,PV + battery + hydrogen,150.0,1.1,48.0,150.0,4112509.735184814,395.17201311128287,0.0,0.0,0.0,0.0,0.0,1.0,48.0,0.0,4112509.735184814,1632645.819021102,False,1411362.1529586022,False
37,diesel_battery,PV + diesel + battery,150.0,1.15,48.0,150.0,2479863.916163712,238.29069816132704,6494.82754342,4546.379280394,681956.8920591,44.25673321250001,0.3459487838603996,0.6540512161396004,1.0,221283.66606250004,2701147.5822262117,1707743.9693136099,False,1486460.30325111,False
37,battery_hydrogen,PV + battery + hydrogen,150.0,1.15,48.0,150.0,4187607.8854773217,402.38821176927587,0.0,0.0,0.0,0.0,0.0,1.0,48.0,0.0,4187607.8854773217,1707743.9693136099,False,1486460.30325111,False
38,diesel_battery,PV + diesel + battery,150.0,1.2,48.0,150.0,2479863.916163712,238.29069816132704,6494.82754342,4546.379280394,681956.8920591,44.25673321250001,0.3459487838603996,0.6540512161396004,1.0,221283.66606250004,2701147.5822262117,1782842.1196061186,False,1561558.4535436188,False
38,battery_hydrogen,PV + battery + hydrogen,150.0,1.2,48.0,150.0,4262706.03576983,409.60441042726904,0.0,0.0,0.0,0.0,0.0,1.0,48.0,0.0,4262706.03576983,1782842.1196061186,False,1561558.4535436188,False
