sensitivity_case,scenario,label,delivered_diesel_cost_usd_per_mwh,outage_duration_hours,hydrogen_capex_multiplier,carbon_price_usd_per_t,total_annual_cost_usd,lcoe_usd_per_mwh_served,diesel_mwh,diesel_co2_t,carbon_cost_usd,eens_mwh,lpsp,critical_load_served_ratio,survivable_outage_duration_h,resilience_penalty_usd,resilience_adjusted_cost_usd,battery_hydrogen_minus_diesel_battery_usd,battery_hydrogen_preferred_to_diesel_battery
1,diesel_battery,PV + diesel + battery,180.0,12.0,0.45,0.0,1939916.5999751515,186.40709457996837,6200.65198628,4340.456390396,0.0,2.6153035399999998,0.08098690177289633,0.9190130982271036,4.0,13076.517699999999,1952993.1176751514,2256504.5988117866,False
1,battery_hydrogen,PV + battery + hydrogen,180.0,12.0,0.45,0.0,4209497.716486938,404.4917389651662,0.0,0.0,0.0,0.0,0.0,1.0,12.0,0.0,4209497.716486938,2256504.5988117866,False
2,diesel_battery,PV + diesel + battery,180.0,12.0,0.45,150.0,2590985.0585345514,248.96843342013855,6200.65198628,4340.456390396,651068.4585593999,2.6153035399999998,0.08098690177289633,0.9190130982271036,4.0,13076.517699999999,2604061.5762345516,1605436.1402523867,False
2,battery_hydrogen,PV + battery + hydrogen,180.0,12.0,0.45,150.0,4209497.716486938,404.4917389651662,0.0,0.0,0.0,0.0,0.0,1.0,12.0,0.0,4209497.716486938,1605436.1402523867,False
3,diesel_battery,PV + diesel + battery,180.0,12.0,0.45,300.0,3242053.5170939513,311.52977226030873,6200.65198628,4340.456390396,1302136.9171187999,2.6153035399999998,0.08098690177289633,0.9190130982271036,4.0,13076.517699999999,3255130.0347939515,954367.6816929867,False
3,battery_hydrogen,PV + battery + hydrogen,180.0,12.0,0.45,300.0,4209497.716486938,404.4917389651662,0.0,0.0,0.0,0.0,0.0,1.0,12.0,0.0,4209497.716486938,954367.6816929867,False
4,diesel_battery,PV + diesel + battery,180.0,12.0,0.7,0.0,1939916.5999751515,186.40709457996837,6200.65198628,4340.456390396,0.0,2.6153035399999998,0.08098690177289633,0.9190130982271036,4.0,13076.517699999999,1952993.1176751514,3228959.978990604,False
4,battery_hydrogen,PV + battery + hydrogen,180.0,12.0,0.7,0.0,5181953.096665756,497.9352313452581,0.0,0.0,0.0,0.0,0.0,1.0,12.0,0.0,5181953.096665756,3228959.978990604,False
5,diesel_battery,PV + diesel + battery,180.0,12.0,0.7,150.0,2590985.0585345514,248.96843342013855,6200.65198628,4340.456390396,651068.4585593999,2.6153035399999998,0.08098690177289633,0.9190130982271036,4.0,13076.517699999999,2604061.5762345516,2577891.5204312042,False
5,battery_hydrogen,PV + battery + hydrogen,180.0,12.0,0.7,150.0,5181953.096665756,497.9352313452581,0.0,0.0,0.0,0.0,0.0,1.0,12.0,0.0,5181953.096665756,2577891.5204312042,False
6,diesel_battery,PV + diesel + battery,180.0,12.0,0.7,300.0,3242053.5170939513,311.52977226030873,6200.65198628,4340.456390396,1302136.9171187999,2.6153035399999998,0.08098690177289633,0.9190130982271036,4.0,13076.517699999999,3255130.0347939515,1926823.0618718043,False
6,battery_hydrogen,PV + battery + hydrogen,180.0,12.0,0.7,300.0,5181953.096665756,497.9352313452581,0.0,0.0,0.0,0.0,0.0,1.0,12.0,0.0,5181953.096665756,1926823.0618718043,False
7,diesel_battery,PV + diesel + battery,180.0,12.0,1.0,0.0,1939916.5999751515,186.40709457996837,6200.65198628,4340.456390396,0.0,2.6153035399999998,0.08098690177289633,0.9190130982271036,4.0,13076.517699999999,1952993.1176751514,4395906.435205185,False
7,battery_hydrogen,PV + battery + hydrogen,180.0,12.0,1.0,0.0,6348899.5528803365,610.0674222013685,0.0,0.0,0.0,0.0,0.0,1.0,12.0,0.0,6348899.5528803365,4395906.435205185,False
8,diesel_battery,PV + diesel + battery,180.0,12.0,1.0,150.0,2590985.0585345514,248.96843342013855,6200.65198628,4340.456390396,651068.4585593999,2.6153035399999998,0.08098690177289633,0.9190130982271036,4.0,13076.517699999999,2604061.5762345516,3744837.976645785,False
8,battery_hydrogen,PV + battery + hydrogen,180.0,12.0,1.0,150.0,6348899.5528803365,610.0674222013685,0.0,0.0,0.0,0.0,0.0,1.0,12.0,0.0,6348899.5528803365,3744837.976645785,False
9,diesel_battery,PV + diesel + battery,180.0,12.0,1.0,300.0,3242053.5170939513,311.52977226030873,6200.65198628,4340.456390396,1302136.9171187999,2.6153035399999998,0.08098690177289633,0.9190130982271036,4.0,13076.517699999999,3255130.0347939515,3093769.518086385,False
9,battery_hydrogen,PV + battery + hydrogen,180.0,12.0,1.0,300.0,6348899.5528803365,610.0674222013685,0.0,0.0,0.0,0.0,0.0,1.0,12.0,0.0,6348899.5528803365,3093769.518086385,False
10,diesel_battery,PV + diesel + battery,180.0,48.0,0.45,0.0,1939916.5999751515,186.40709457996837,6200.65198628,4340.456390396,0.0,34.90433045250001,0.272717704980821,0.727282295019179,4.0,174521.65226250005,2114438.2522376515,2095059.4642492868,False
10,battery_hydrogen,PV + battery + hydrogen,180.0,48.0,0.45,0.0,4209497.716486938,404.4917389651662,0.0,0.0,0.0,0.0,0.0,1.0,48.0,0.0,4209497.716486938,2095059.4642492868,False
11,diesel_battery,PV + diesel + battery,180.0,48.0,0.45,150.0,2590985.0585345514,248.96843342013855,6200.65198628,4340.456390396,651068.4585593999,34.90433045250001,0.272717704980821,0.727282295019179,4.0,174521.65226250005,2765506.7107970514,1443991.0056898869,False
11,battery_hydrogen,PV + battery + hydrogen,180.0,48.0,0.45,150.0,4209497.716486938,404.4917389651662,0.0,0.0,0.0,0.0,0.0,1.0,48.0,0.0,4209497.716486938,1443991.0056898869,False
12,diesel_battery,PV + diesel + battery,180.0,48.0,0.45,300.0,3242053.5170939513,311.52977226030873,6200.65198628,4340.456390396,1302136.9171187999,34.90433045250001,0.272717704980821,0.727282295019179,4.0,174521.65226250005,3416575.1693564514,792922.5471304869,False
12,battery_hydrogen,PV + battery + hydrogen,180.0,48.0,0.45,300.0,4209497.716486938,404.4917389651662,0.0,0.0,0.0,0.0,0.0,1.0,48.0,0.0,4209497.716486938,792922.5471304869,False
13,diesel_battery,PV + diesel + battery,180.0,48.0,0.7,0.0,1939916.5999751515,186.40709457996837,6200.65198628,4340.456390396,0.0,34.90433045250001,0.272717704980821,0.727282295019179,4.0,174521.65226250005,2114438.2522376515,3067514.8444281043,False
13,battery_hydrogen,PV + battery + hydrogen,180.0,48.0,0.7,0.0,5181953.096665756,497.9352313452581,0.0,0.0,0.0,0.0,0.0,1.0,48.0,0.0,5181953.096665756,3067514.8444281043,False
14,diesel_battery,PV + diesel + battery,180.0,48.0,0.7,150.0,2590985.0585345514,248.96843342013855,6200.65198628,4340.456390396,651068.4585593999,34.90433045250001,0.272717704980821,0.727282295019179,4.0,174521.65226250005,2765506.7107970514,2416446.3858687044,False
14,battery_hydrogen,PV + battery + hydrogen,180.0,48.0,0.7,150.0,5181953.096665756,497.9352313452581,0.0,0.0,0.0,0.0,0.0,1.0,48.0,0.0,5181953.096665756,2416446.3858687044,False
15,diesel_battery,PV + diesel + battery,180.0,48.0,0.7,300.0,3242053.5170939513,311.52977226030873,6200.65198628,4340.456390396,1302136.9171187999,34.90433045250001,0.272717704980821,0.727282295019179,4.0,174521.65226250005,3416575.1693564514,1765377.9273093045,False
15,battery_hydrogen,PV + battery + hydrogen,180.0,48.0,0.7,300.0,5181953.096665756,497.9352313452581,0.0,0.0,0.0,0.0,0.0,1.0,48.0,0.0,5181953.096665756,1765377.9273093045,False
16,diesel_battery,PV + diesel + battery,180.0,48.0,1.0,0.0,1939916.5999751515,186.40709457996837,6200.65198628,4340.456390396,0.0,34.90433045250001,0.272717704980821,0.727282295019179,4.0,174521.65226250005,2114438.2522376515,4234461.300642685,False
16,battery_hydrogen,PV + battery + hydrogen,180.0,48.0,1.0,0.0,6348899.5528803365,610.0674222013685,0.0,0.0,0.0,0.0,0.0,1.0,48.0,0.0,6348899.5528803365,4234461.300642685,False
17,diesel_battery,PV + diesel + battery,180.0,48.0,1.0,150.0,2590985.0585345514,248.96843342013855,6200.65198628,4340.456390396,651068.4585593999,34.90433045250001,0.272717704980821,0.727282295019179,4.0,174521.65226250005,2765506.7107970514,3583392.842083285,False
17,battery_hydrogen,PV + battery + hydrogen,180.0,48.0,1.0,150.0,6348899.5528803365,610.0674222013685,0.0,0.0,0.0,0.0,0.0,1.0,48.0,0.0,6348899.5528803365,3583392.842083285,False
18,diesel_battery,PV + diesel + battery,180.0,48.0,1.0,300.0,3242053.5170939513,311.52977226030873,6200.65198628,4340.456390396,1302136.9171187999,34.90433045250001,0.272717704980821,0.727282295019179,4.0,174521.65226250005,3416575.1693564514,2932324.383523885,False
18,battery_hydrogen,PV + battery + hydrogen,180.0,48.0,1.0,300.0,6348899.5528803365,610.0674222013685,0.0,0.0,0.0,0.0,0.0,1.0,48.0,0.0,6348899.5528803365,2932324.383523885,False
19,diesel_battery,PV + diesel + battery,180.0,96.0,0.45,0.0,1939916.5999751515,186.40709457996837,6200.65198628,4340.456390396,0.0,76.68534528750003,0.30003529233110754,0.6999647076688925,4.0,383426.72643750015,2323343.3264126517,1886154.3900742866,False
19,battery_hydrogen,PV + battery + hydrogen,180.0,96.0,0.45,0.0,4209497.716486938,404.4917389651662,0.0,0.0,0.0,0.0,0.0,1.0,96.0,0.0,4209497.716486938,1886154.3900742866,False
20,diesel_battery,PV + diesel + battery,180.0,96.0,0.45,150.0,2590985.0585345514,248.96843342013855,6200.65198628,4340.456390396,651068.4585593999,76.68534528750003,0.30003529233110754,0.6999647076688925,4.0,383426.72643750015,2974411.7849720516,1235085.9315148867,False
20,battery_hydrogen,PV + battery + hydrogen,180.0,96.0,0.45,150.0,4209497.716486938,404.4917389651662,0.0,0.0,0.0,0.0,0.0,1.0,96.0,0.0,4209497.716486938,1235085.9315148867,False
21,diesel_battery,PV + diesel + battery,180.0,96.0,0.45,300.0,3242053.5170939513,311.52977226030873,6200.65198628,4340.456390396,1302136.9171187999,76.68534528750003,0.30003529233110754,0.6999647076688925,4.0,383426.72643750015,3625480.2435314516,584017.4729554867,False
21,battery_hydrogen,PV + battery + hydrogen,180.0,96.0,0.45,300.0,4209497.716486938,404.4917389651662,0.0,0.0,0.0,0.0,0.0,1.0,96.0,0.0,4209497.716486938,584017.4729554867,False
22,diesel_battery,PV + diesel + battery,180.0,96.0,0.7,0.0,1939916.5999751515,186.40709457996837,6200.65198628,4340.456390396,0.0,76.68534528750003,0.30003529233110754,0.6999647076688925,4.0,383426.72643750015,2323343.3264126517,2858609.770253104,False
22,battery_hydrogen,PV + battery + hydrogen,180.0,96.0,0.7,0.0,5181953.096665756,497.9352313452581,0.0,0.0,0.0,0.0,0.0,1.0,96.0,0.0,5181953.096665756,2858609.770253104,False
23,diesel_battery,PV + diesel + battery,180.0,96.0,0.7,150.0,2590985.0585345514,248.96843342013855,6200.65198628,4340.456390396,651068.4585593999,76.68534528750003,0.30003529233110754,0.6999647076688925,4.0,383426.72643750015,2974411.7849720516,2207541.311693704,False
23,battery_hydrogen,PV + battery + hydrogen,180.0,96.0,0.7,150.0,5181953.096665756,497.9352313452581,0.0,0.0,0.0,0.0,0.0,1.0,96.0,0.0,5181953.096665756,2207541.311693704,False
