h2_tank_kg,outage_duration_h,outage_seed,critical_load_served_ratio,eens_mwh,survivable_outage_h
5000,48,1,1.0,0.0,48.0
5000,48,2,1.0,0.0,48.0
5000,48,3,1.0,0.0,48.0
5000,48,4,1.0,0.0,48.0
5000,48,5,1.0,0.0,48.0
5000,48,6,1.0,0.0,48.0
5000,48,7,1.0,0.0,48.0
5000,48,8,1.0,0.0,48.0
5000,48,9,1.0,0.0,48.0
5000,48,10,1.0,0.0,48.0
5000,48,11,1.0,0.0,48.0
5000,48,12,1.0,0.0,48.0
5000,48,13,1.0,0.0,48.0
5000,48,14,1.0,0.0,48.0
5000,48,15,1.0,0.0,48.0
5000,48,16,1.0,0.0,48.0
5000,48,17,1.0,0.0,48.0
5000,48,18,1.0,0.0,48.0
5000,48,19,1.0,0.0,48.0
5000,48,20,1.0,0.0,48.0
5000,48,21,1.0,0.0,48.0
5000,48,22,1.0,0.0,48.0
5000,48,23,1.0,0.0,48.0
5000,48,24,1.0,0.0,48.0
5000,48,25,1.0,0.0,48.0
5000,48,26,1.0,0.0,48.0
5000,48,27,1.0,0.0,48.0
5000,48,28,1.0,0.0,48.0
5000,48,29,1.0,0.0,48.0
5000,48,30,1.0,0.0,48.0
5000,48,31,1.0,0.0,48.0
5000,48,32,1.0,0.0,48.0
5000,48,33,1.0,0.0,48.0
5000,48,34,1.0,0.0,48.0
5000,48,35,1.0,0.0,48.0
5000,48,36,1.0,0.0,48.0
5000,48,37,1.0,0.0,48.0
5000,48,38,1.0,0.0,48.0
5000,48,39,1.0,0.0,48.0
5000,48,40,1.0,0.0,48.0
5000,48,41,1.0,0.0,48.0
5000,48,42,1.0,0.0,48.0
5000,48,43,1.0,0.0,48.0
5000,48,44,1.0,0.0,48.0
5000,48,45,1.0,0.0,48.0
5000,48,46,1.0,0.0,48.0
5000,48,47,1.0,0.0,48.0
5000,48,48,1.0,0.0,48.0
5000,48,49,1.0,0.0,48.0
5000,48,50,1.0,0.0,48.0
5000,72,1,1.0,0.0,72.0
5000,72,2,1.0,0.0,72.0
5000,72,3,1.0,0.0,72.0
5000,72,4,1.0,0.0,72.0
5000,72,5,1.0,0.0,72.0
5000,72,6,1.0,0.0,72.0
5000,72,7,1.0,0.0,72.0
5000,72,8,1.0,0.0,72.0
5000,72,9,1.0,0.0,72.0
5000,72,10,1.0,0.0,72.0
5000,72,11,1.0,0.0,72.0
5000,72,12,1.0,0.0,72.0
5000,72,13,1.0,0.0,72.0
5000,72,14,1.0,0.0,72.0
5000,72,15,1.0,0.0,72.0
5000,72,16,1.0,0.0,72.0
5000,72,17,1.0,0.0,72.0
5000,72,18,1.0,0.0,72.0
5000,72,19,1.0,0.0,72.0
5000,72,20,1.0,0.0,72.0
5000,72,21,1.0,0.0,72.0
5000,72,22,1.0,0.0,72.0
5000,72,23,1.0,0.0,72.0
5000,72,24,1.0,0.0,72.0
5000,72,25,1.0,0.0,72.0
5000,72,26,1.0,0.0,72.0
5000,72,27,1.0,0.0,72.0
5000,72,28,1.0,0.0,72.0
5000,72,29,1.0,0.0,72.0
5000,72,30,1.0,0.0,72.0
5000,72,31,1.0,0.0,72.0
5000,72,32,1.0,0.0,72.0
5000,72,33,1.0,0.0,72.0
5000,72,34,1.0,0.0,72.0
5000,72,35,1.0,0.0,72.0
5000,72,36,1.0,0.0,72.0
5000,72,37,1.0,0.0,72.0
5000,72,38,1.0,0.0,72.0
5000,72,39,1.0,0.0,72.0
5000,72,40,1.0,0.0,72.0
5000,72,41,1.0,0.0,72.0
5000,72,42,1.0,0.0,72.0
5000,72,43,1.0,0.0,72.0
5000,72,44,1.0,0.0,72.0
5000,72,45,1.0,0.0,72.0
5000,72,46,1.0,0.0,72.0
5000,72,47,1.0,0.0,72.0
5000,72,48,1.0,0.0,72.0
5000,72,49,1.0,0.0,72.0
5000,72,50,1.0,0.0,72.0
5000,96,1,1.0,0.0,96.0
5000,96,2,1.0,0.0,96.0
5000,96,3,1.0,0.0,96.0
5000,96,4,1.0,0.0,96.0
5000,96,5,1.0,0.0,96.0
5000,96,6,1.0,0.0,96.0
5000,96,7,1.0,0.0,96.0
5000,96,8,1.0,0.0,96.0
5000,96,9,1.0,0.0,96.0
5000,96,10,1.0,0.0,96.0
5000,96,11,1.0,0.0,96.0
5000,96,12,1.0,0.0,96.0
5000,96,13,1.0,0.0,96.0
5000,96,14,1.0,0.0,96.0
5000,96,15,1.0,0.0,96.0
5000,96,16,1.0,0.0,96.0
5000,96,17,1.0,0.0,96.0
5000,96,18,1.0,0.0,96.0
5000,96,19,1.0,0.0,96.0
5000,96,20,1.0,0.0,96.0
5000,96,21,1.0,0.0,96.0
5000,96,22,1.0,0.0,96.0
